"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"23","Chryseobacterium.balustinum_15_TSB","-66.6793034224476","-62.5012136715539","-84.5590946219298","-79.3364824333126","-87.3654637773333","-82.1428515887162","NA","NA"
"24","Enterobacter.sp._15_TSB","-74.3490895474984","-69.0202715067976","-97.4587548320826","-90.7977322812066","-99.1365241976207","-92.4755016467447","NA","NA"
"25","Pantoea.agglomerans.1_15_TSB","-12.1078397395804","-7.5658628758638","-14.3953871396703","-8.71791606002457","NA","NA","NA","NA"
"26","Pantoea.agglomerans.2_15_TSB","0.168223568720205","5.20060972080613","-1.96168564327186","4.32879704683555","-1.9626154045164","4.32786728559102","NA","NA"
"27","Bacillus.pumilus_15_TSB","-27.458608489411","-23.0944386759777","NA","NA","-27.5117276778423","-22.0565154110507","NA","NA"
"28","Clavibacter.michiganensis_15_TSB","-25.7077730956249","-21.1657962319083","-28.9564778132265","-23.2790067335808","-30.0113093321668","-24.3338382525211","NA","NA"
"29","Pseudomonas.fluorescens.1_15_TSB","-25.6787184389201","-21.1367415752035","-31.2768973605117","-25.599426280866","-33.26778978798","-27.5903187083342","NA","NA"
"30","Pseudomonas.fluorescens.2_15_TSB","-79.4247488661281","-74.8827720024115","-72.4103783229071","-66.7329072432614","-90.3164563537187","-84.638985274073","NA","NA"
"31","Acinetobacter.clacoaceticus.1_15_TSB","-54.1643091797096","-49.9862194288159","-58.0772286086928","-52.8546164200757","-58.0805624536992","-52.857950265082","NA","NA"
"32","Acinetobacter.clacoaceticus.2_15_TSB","-25.6727119281093","-20.7972086286365","-19.5886768491631","-13.4942977248221","NA","NA","NA","NA"
"33","Stenotrophomonas.maltophilia.1_15_TSB","-31.2872628886959","-26.9230930752627","-26.9455343353345","-21.4903220685429","NA","NA","NA","NA"
"34","Stenotrophomonas.maltophilia.2_15_TSB","-13.645843381308","-9.10386651759144","-8.44788937036572","-2.77041829071997","-12.3848633708112","-6.70739229116546","NA","NA"
